% Module: Sweep, ID: c0p1t10p1cfm0
% Device: dev2344
% Time: 2022/07/06 13:06:02
% Demod 1 Sample Phase,  /module/c0p1t10p1cf/sweep/dev2344/demods/0/sample.Theta
% Demod 4 Sample Phase,  /module/c0p1t10p1cf/sweep/dev2344/demods/3/sample.Theta
% Frequency (Hz); Demod 1 Sample Phase Phase (deg); Demod 4 Sample Phase Phase (deg)
100; 0.863891781758; -179.086559246
136.7489014049991; 0.497049052479; -179.370960773
187.0026203547417; 0.83610019118; -179.577655273
255.7240289336706; 0.192826120152; -179.7457536
349.6998001953967; 0.154896960098; -179.831686316
478.210634982682; -0.0437580553052; -179.949086651
653.9477897406881; -0.0498888529079; -180.000429107
894.2664182326646; -0.161749478988; -180.053605565
1222.899502567004; -0.161149054302; -180.103150514
1672.301635047577; -0.218056271362; -180.147075867
2286.854114105399; -0.271681322452; -180.195678886
3127.247877774159; -0.347523620066; -180.243178116
4276.477117067317; -0.43209223364; -180.29410878
5848.035476425734; -0.576736171403; -180.373026181
7997.124267786799; -0.731769391808; -180.423878987
10935.97958019104; -0.948625174779; -180.516444317
14954.83193378625; -1.22316881335; -180.646007907
20450.56837641673; -1.6107687933; -180.856133841
27965.92758582799; -2.19013634745; -181.225620474
38243.09874133745; -3.44024216786; -182.17239529
52297.0173920079; -5.59843189303; -184.085437374
71515.59675115229; -7.38094502149; -185.6090693
97796.7928904298; -8.73110709259; -186.581009862
133736.0398869853; -8.64845198345; -185.923978439
182882.5653280039; -9.98356792719; -186.506955414
250089.8989473252; -12.8644085504; -188.474127282
341995.1893353396; -16.9030479084; -191.346618505
467674.6642740237; -21.92037022; -194.901161914
639539.9655442454; -28.7248472014; -199.786821204
874563.8769276657; -37.5770150995; -206.403541749
1195956.493783552; -49.8328666389; -215.66156506
1635457.366530753; -66.7890092635; -229.105471808
2236469.981677935; -87.2639137209; -245.566110347
3058348.130197162; -117.721910857; -270.660893136
4182257.469184951; -156.119186228; -303.440662463
5719191.143038942; -207.035913788; -348.253592033
7820931.057357765; -272.304854657; -407.608578603
10695037.30057913; -361.225956814; -491.366586943
14625346.01339683; -481.723458549; -606.564612847
20000000; -641.055974185; -399.301821615
